,frameNo,topLeft,bottomRight
0,0,"(420, 330)","(610, 455)"
0,0,"(462, 117)","(652, 242)"
0,0,"(88, 243)","(278, 368)"
0,0,"(185, 427)","(375, 552)"
0,0,"(834, 377)","(1024, 502)"
0,0,"(626, 352)","(816, 477)"
0,1,"(576, 0)","(766, 125)"
0,1,"(576, 0)","(766, 125)"
0,1,"(133, 268)","(323, 393)"
0,1,"(133, 268)","(323, 393)"
0,1,"(133, 268)","(323, 393)"
0,1,"(133, 268)","(323, 393)"
0,2,"(1090, 0)","(1280, 125)"
0,2,"(1090, 0)","(1280, 125)"
0,2,"(181, 292)","(371, 417)"
0,2,"(181, 292)","(371, 417)"
0,2,"(181, 292)","(371, 417)"
0,2,"(181, 292)","(371, 417)"
0,3,"(1090, 0)","(1280, 125)"
0,3,"(1090, 0)","(1280, 125)"
0,3,"(234, 318)","(424, 443)"
0,3,"(234, 318)","(424, 443)"
0,3,"(234, 318)","(424, 443)"
0,3,"(234, 318)","(424, 443)"
0,4,"(1090, 0)","(1280, 125)"
0,4,"(1090, 0)","(1280, 125)"
0,4,"(246, 327)","(436, 452)"
0,4,"(246, 327)","(436, 452)"
0,4,"(246, 327)","(436, 452)"
0,4,"(246, 327)","(436, 452)"
0,5,"(1090, 1)","(1280, 126)"
0,5,"(1090, 1)","(1280, 126)"
0,5,"(247, 313)","(437, 438)"
0,5,"(247, 313)","(437, 438)"
0,5,"(247, 313)","(437, 438)"
0,5,"(247, 313)","(437, 438)"
0,6,"(583, 3)","(773, 128)"
0,6,"(583, 3)","(773, 128)"
0,6,"(510, 444)","(700, 569)"
0,6,"(510, 444)","(700, 569)"
0,6,"(510, 444)","(700, 569)"
0,6,"(510, 444)","(700, 569)"
0,7,"(636, 3)","(826, 128)"
0,7,"(636, 3)","(826, 128)"
0,7,"(487, 443)","(677, 568)"
0,7,"(487, 443)","(677, 568)"
0,7,"(487, 443)","(677, 568)"
0,7,"(487, 443)","(677, 568)"
0,8,"(533, 3)","(723, 128)"
0,8,"(533, 3)","(723, 128)"
0,8,"(494, 444)","(684, 569)"
0,8,"(494, 444)","(684, 569)"
0,8,"(494, 444)","(684, 569)"
0,8,"(494, 444)","(684, 569)"
0,9,"(557, 3)","(747, 128)"
0,9,"(557, 3)","(747, 128)"
0,9,"(536, 457)","(726, 582)"
0,9,"(536, 457)","(726, 582)"
0,9,"(536, 457)","(726, 582)"
0,9,"(536, 457)","(726, 582)"
0,10,"(561, 3)","(751, 128)"
0,10,"(561, 3)","(751, 128)"
0,10,"(100, 234)","(290, 359)"
0,10,"(100, 234)","(290, 359)"
0,10,"(100, 234)","(290, 359)"
0,10,"(100, 234)","(290, 359)"
0,11,"(573, 1)","(763, 126)"
0,11,"(573, 1)","(763, 126)"
0,11,"(153, 258)","(343, 383)"
0,11,"(153, 258)","(343, 383)"
0,11,"(153, 258)","(343, 383)"
0,11,"(153, 258)","(343, 383)"
0,12,"(573, 1)","(763, 126)"
0,12,"(573, 1)","(763, 126)"
0,12,"(209, 284)","(399, 409)"
0,12,"(209, 284)","(399, 409)"
0,12,"(209, 284)","(399, 409)"
0,12,"(209, 284)","(399, 409)"
0,13,"(573, 0)","(763, 125)"
0,13,"(573, 0)","(763, 125)"
0,13,"(261, 307)","(451, 432)"
0,13,"(261, 307)","(451, 432)"
0,13,"(261, 307)","(451, 432)"
0,13,"(261, 307)","(451, 432)"
0,14,"(589, 2)","(779, 127)"
0,14,"(589, 2)","(779, 127)"
0,14,"(18, 181)","(208, 306)"
0,14,"(18, 181)","(208, 306)"
0,14,"(18, 181)","(208, 306)"
0,14,"(18, 181)","(208, 306)"
0,15,"(565, 3)","(755, 128)"
0,15,"(565, 3)","(755, 128)"
0,15,"(69, 203)","(259, 328)"
0,15,"(69, 203)","(259, 328)"
0,15,"(69, 203)","(259, 328)"
0,15,"(69, 203)","(259, 328)"
0,16,"(573, 3)","(763, 128)"
0,16,"(573, 3)","(763, 128)"
0,16,"(124, 228)","(314, 353)"
0,16,"(124, 228)","(314, 353)"
0,16,"(124, 228)","(314, 353)"
0,16,"(124, 228)","(314, 353)"
0,17,"(543, 0)","(733, 125)"
0,17,"(543, 0)","(733, 125)"
0,17,"(174, 252)","(364, 377)"
0,17,"(174, 252)","(364, 377)"
0,17,"(174, 252)","(364, 377)"
