country,HPC,manufacture,year
China,Tianhe-1 - NUDT TH-1 Cluster,NUDT,2010
United States,Zeus - Cray XE6 12-core 2.0 GHz,Cray/HPE,2010
United States,Grendel - PowerEdge 1950,Dell EMC,2010
China,Cluster Platform 3000 BL460c G1,HPE,2010
United Kingdom,WillowA - Bullx B500 Blade system,Atos,2010
United Kingdom,WillowB - Bullx B500 Blade system,Atos,2010
United States,Saguaro 2 - PowerEdge M100e/M600,Dell EMC,2010
Canada,xSeries x3650M2 Cluster,IBM,2010
Canada,Orcinus - Cluster Platform 3000 BL2x220,HPE,2010
Germany,BladeCenter HS21 Cluster,IBM,2010
India,Cluster Platform 3000 BL460c G6,HPE,2010
Switzerland,Seis-3 - Dalco r2164i Cluster,DALCO AG Switzerland,2010
United Kingdom,BlueCrystal - xSeries x3450 Cluster Xeon quad core,ClusterVision/IBM,2010
United States,Topsail - PowerEdge 1955,Dell EMC,2010
Japan,Fujitsu FX1,Fujitsu/SNI,2010
India,Cluster Platform 3000 BL460c,HPE,2010
United States,PowerEdge 1950,Dell EMC,2010
Germany,CSC-FUCHS - ClusterVision Cluster,ClusterVision,2010
Finland,Vuori - Cluster Platform 4000 BL465c,HPE,2010
United States,Intel-SCTO-HPC2A - Cluster Platform 3000 BL460c,HPE,2010
Italy,Cluster Platform 3000 BL460c G1,HPE,2010
United Kingdom,Cluster Platform 3000 BL2x220,HPE,2010
Netherlands,Stella - eServer Blue Gene Solution,IBM,2010
Austria,xSeries x3650 Cluster Xeon QC GT 2.66 GHz,IBM,2010
United States,Minos - Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband,Cray/HPE,2010
United States,Arev - SunBlade x6250,Oracle,2010
Netherlands,Millipede - ClusterVision Cluster,ClusterVision,2010
United States,Steele - PowerEdge 1950,Dell EMC,2010
Turkey,xSeries x3650M2 Cluster,IBM,2010
United States,Marylou5 - Dell PowerEdge M610 Cluster,Dell EMC,2010
United States,Jet - NOW Cluster - Intel Xeon 51xx/E54xx 2.8 Ghz,Raytheon-Aspen Systems/Appro,2010
United Kingdom,Cluster Platform 3000 BL460c G5,HPE,2010
Finland,Cluster Platform 3000 BL460c G1,HPE,2010
New Zealand,Power 575,IBM,2010
Germany,Cray XT6m 12-Core 1.9 GHz,Cray/HPE,2010
United Kingdom,Blackthorn - Bullx B500 Blade system,Atos,2010
United States,Intel-ORTO-HPC2A - Cluster Platform 3000 BL460c,HPE,2010
South Africa,Tsessebe - SunBlade X6275 and X6250,Dell/Oracle,2010
Canada,eServer pSeries p5 575 1.9 GHz,IBM,2010
